Tx_ma,RX_ma,SRC_ma,DST_ma,0,RSSI,TX_rate,Time_sniff
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-48,39.0,2019-06-11 13:49:20.301976
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,39.0,2019-06-11 13:49:20.302608
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,39.0,2019-06-11 13:49:20.303777
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-53,39.0,2019-06-11 13:49:20.304972
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-48,39.0,2019-06-11 13:49:20.305409
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-48,39.0,2019-06-11 13:49:20.305870
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:20.306123
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:20.306386
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:20.306625
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,0,39.0,2019-06-11 13:49:20.306872
b0:70:2d:ea:8d:1d,e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-43,65.0,2019-06-11 13:49:20.307133
e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,123,-49,39.0,2019-06-11 13:49:20.307271
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,65.0,2019-06-11 13:49:20.314620
e4:95:6e:40:83:ba,b0:70:2d:ea:8d:1d,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-50,39.0,2019-06-11 13:49:20.315074
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-51,65.0,2019-06-11 13:49:20.315861
e0:09:bf:1b:c7:d4,e4:95:6e:40:83:ba,e0:09:bf:1b:c7:d4,b0:70:2d:ea:8d:1d,1397,-49,65.0,2019-06-11 13:49:20.317011
